id,host_is_superhost,host_listings_count,host_total_listings_count,accommodates,bathrooms,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,number_of_reviews,average_review
3053081,t,2,2,3,1.0,1.0,1.0,6523,$55.00,2,30,294,9.85
3068787,f,1,1,4,2.0,2.0,2.0,6523,$150.00,3,1125,95,9.95
3083343,t,5,5,4,1.0,2.0,2.0,6523,$100.00,3,25,77,9.4
3088192,t,1,1,8,1.0,2.0,4.0,6523,$100.00,1,1125,395,9.95
3105733,t,3,3,2,1.0,1.0,1.0,6523,$97.00,1,1125,24,9.083333333333332
3111197,f,1,1,2,1.0,1.0,2.0,6523,$130.00,3,1125,44,9.9
3138825,f,12,12,12,1.0,2.0,0.0,6523,$49.00,1,1125,444,8.35
3172794,f,10,10,16,2.5,6.0,9.0,6523,"$1,157.00",2,90,51,9.766666666666666
3191655,f,1,1,5,1.0,2.0,2.0,6523,$106.00,3,29,13,9.3
3217145,f,4,4,2,1.0,1.0,0.0,6523,$181.00,1,1124,242,9.233333333333334
3267902,t,1,1,4,1.0,1.0,3.0,6523,$89.00,2,1125,278,9.9
3292054,t,7,7,8,3.0,3.0,3.0,6523,$263.00,3,1125,144,9.866666666666667
3293564,t,7,7,2,1.0,1.0,1.0,6523,$70.00,2,1125,50,9.95
3295017,t,7,7,2,1.0,1.0,1.0,6523,$69.00,2,1125,23,9.85
3298786,t,2,2,2,1.0,1.0,1.0,6523,$78.00,1,1125,78,9.85
3303813,t,7,7,2,1.0,1.0,1.0,6523,$70.00,2,1125,81,9.95
3308694,f,2,2,5,1.0,2.0,3.0,6523,$299.00,2,30,38,9.766666666666666
3329088,t,1,1,4,2.0,2.0,2.0,6523,$82.00,2,93,89,9.816666666666666
3376665,f,2,2,2,1.0,1.0,1.0,6523,$91.00,2,7,63,9.683333333333334
3385966,f,2,2,5,2.0,2.0,2.0,6523,$148.00,2,1125,148,9.716666666666667
3394750,t,2,2,3,1.0,2.0,4.0,6523,$85.00,4,1125,94,9.666666666666668
3423436,f,2,2,1,1.0,1.0,,6523,$70.00,2,1125,0,
3434136,f,2,2,1,1.0,1.0,1.0,6523,$75.00,2,1125,143,9.85
3488317,f,4,4,7,1.0,3.0,3.0,6523,$375.00,1,29,6,10.0
3497096,f,2,2,2,1.0,2.0,2.0,6523,$62.00,4,200,18,8.566666666666666
3517984,t,1,1,2,1.0,1.0,1.0,6523,$58.00,1,1125,307,9.95
3521727,f,1,1,4,2.0,2.0,2.0,6523,$230.00,30,180,9,10.0
3534562,t,1,1,5,1.0,2.0,3.0,6523,$89.00,1,1125,359,9.9
3563297,t,2,2,2,1.0,1.0,1.0,6523,$55.00,2,6,175,9.766666666666666
3570616,t,4,4,2,1.0,1.0,2.0,6523,$60.00,31,1125,142,9.583333333333332
